ProductID,Category,Price,Rating,Reviews,Brand,InStock,Season,Discount,Marketing_Spend,Sales
1,Electronics,299.99,4.2,150,TechCorp,1,Winter,0.1,5000,450
2,Clothing,49.99,3.8,89,FashionBrand,1,Spring,0.15,2000,320
3,Home,129.99,4.5,234,HomePlus,1,Summer,0.05,3000,580
4,Electronics,599.99,4.7,312,TechCorp,0,Fall,0.2,8000,720
5,Sports,89.99,4.1,167,SportMax,1,Summer,0.1,2500,410
6,Books,19.99,4.3,98,ReadMore,1,Winter,0,1000,180
7,Electronics,199.99,3.9,134,GadgetCo,1,Spring,0.12,4000,380
8,Clothing,79.99,4.0,176,FashionBrand,1,Fall,0.18,3500,520
9,Home,249.99,4.6,289,HomePlus,1,Winter,0.08,4500,650
10,Sports,159.99,4.2,201,SportMax,0,Summer,0.15,3000,480
11,Electronics,399.99,4.4,267,TechCorp,1,Fall,0.1,6000,590
12,Clothing,34.99,3.7,67,StyleCo,1,Spring,0.2,1500,290
13,Home,89.99,4.1,145,HomeGoods,1,Summer,0.05,2000,370
14,Books,24.99,4.5,112,ReadMore,1,Winter,0,1200,220
15,Electronics,149.99,3.8,98,GadgetCo,1,Spring,0.15,3500,340
16,Sports,199.99,4.3,234,SportMax,1,Summer,0.12,4000,520
17,Clothing,59.99,4.2,156,FashionBrand,1,Fall,0.1,2500,410
18,Home,179.99,4.4,198,HomePlus,0,Winter,0.08,3500,480
19,Electronics,799.99,4.8,456,TechCorp,1,Fall,0.15,10000,890
20,Books,14.99,4.0,76,BookWorld,1,Spring,0,800,150
21,Sports,119.99,4.1,189,ActiveGear,1,Summer,0.1,2800,420
22,Clothing,99.99,4.3,223,StyleCo,1,Fall,0.18,4000,580
23,Home,69.99,3.9,134,HomeGoods,1,Winter,0.05,1800,310
24,Electronics,249.99,4.2,178,GadgetCo,1,Spring,0.12,4500,440
25,Books,29.99,4.6,145,ReadMore,1,Summer,0,1500,280
26,Sports,79.99,3.8,123,SportMax,0,Fall,0.15,2000,290
27,Clothing,44.99,4.0,167,FashionBrand,1,Winter,0.2,2200,360
28,Home,199.99,4.5,267,HomePlus,1,Spring,0.08,4000,570
29,Electronics,129.99,3.9,112,TechCorp,1,Summer,0.1,3000,330
30,Books,39.99,4.4,189,BookWorld,1,Fall,0,2000,380
31,Sports,229.99,4.6,312,ActiveGear,1,Winter,0.12,5000,680
32,Clothing,69.99,4.1,134,StyleCo,1,Spring,0.15,2800,450
33,Home,149.99,4.2,201,HomeGoods,1,Summer,0.05,3200,420
34,Electronics,449.99,4.5,289,GadgetCo,0,Fall,0.18,7000,620
35,Books,16.99,3.8,87,ReadMore,1,Winter,0,900,160
36,Sports,169.99,4.3,234,SportMax,1,Spring,0.1,3500,490
37,Clothing,89.99,4.4,198,FashionBrand,1,Summer,0.12,3200,540
38,Home,299.99,4.7,356,HomePlus,1,Fall,0.08,5500,720
39,Electronics,99.99,3.7,98,TechCorp,1,Winter,0.15,2500,280
40,Books,22.99,4.2,123,BookWorld,1,Spring,0,1100,210
41,Sports,139.99,4.0,167,ActiveGear,1,Summer,0.1,3000,380
42,Clothing,54.99,4.1,145,StyleCo,1,Fall,0.18,2400,390
43,Home,119.99,4.3,178,HomeGoods,0,Winter,0.05,2800,350
44,Electronics,349.99,4.6,267,GadgetCo,1,Spring,0.12,6000,580
45,Books,27.99,4.5,134,ReadMore,1,Summer,0,1300,250
46,Sports,99.99,3.9,156,SportMax,1,Fall,0.15,2200,320
47,Clothing,74.99,4.2,189,FashionBrand,1,Winter,0.1,3000,460
48,Home,179.99,4.4,223,HomePlus,1,Spring,0.08,3800,510
49,Electronics,199.99,4.0,145,TechCorp,1,Summer,0.1,4000,390
50,Books,19.99,4.3,112,BookWorld,1,Fall,0,1000,190
